Freq.	1/Ie(Q1)
2.08929613085404e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.13796208950223e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.18776162394955e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.23872113856834e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.29086765276777e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.34422881531992e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.39883291901949e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.45470891568503e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.51188643150958e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.57039578276886e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.63026799189538e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.69153480392691e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.75422870333816e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.81838293126445e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.88403150312660e-03	-1.01604360566129e+03,-0.00000000000000e+00
2.95120922666638e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.01995172040201e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.09029543251358e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.16227766016837e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.23593656929628e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.31131121482590e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.38844156139202e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.46736850452531e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.54813389233575e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.63078054770101e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.71535229097172e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.80189396320560e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.89045144994280e-03	-1.01604360566129e+03,-0.00000000000000e+00
3.98107170553496e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.07380277804112e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.16869383470334e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.26579518801592e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.36515832240165e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.46683592150962e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.57088189614874e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.67735141287197e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.78630092322637e-03	-1.01604360566129e+03,-0.00000000000000e+00
4.89778819368445e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.01187233627271e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.12861383991363e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.24807460249771e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.37031796370251e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.49540873857623e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.62341325190347e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.75439937337155e-03	-1.01604360566129e+03,-0.00000000000000e+00
5.88843655355587e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.02559586074356e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.16595001861480e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.30957344480191e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.45654229034654e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.60693448007594e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.76082975391980e-03	-1.01604360566129e+03,-0.00000000000000e+00
6.91830970918934e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.07945784384136e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.24435960074988e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.41310241300915e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.58577575029181e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.76247116628689e-03	-1.01604360566129e+03,-0.00000000000000e+00
7.94328234724279e-03	-1.01604360566129e+03,-0.00000000000000e+00
8.12830516164097e-03	-1.01604360566129e+03,-0.00000000000000e+00
8.31763771102668e-03	-1.01604360566129e+03,-0.00000000000000e+00
8.51138038202373e-03	-1.01604360566129e+03,-0.00000000000000e+00
8.70963589956078e-03	-1.01604360566129e+03,-0.00000000000000e+00
8.91250938133742e-03	-1.01604360566129e+03,-0.00000000000000e+00
9.12010839355906e-03	-1.01604360566129e+03,-0.00000000000000e+00
9.33254300796988e-03	-1.01604360566129e+03,-0.00000000000000e+00
9.54992586021432e-03	-1.01604360566129e+03,-0.00000000000000e+00
9.77237220955807e-03	-1.01604360566129e+03,-0.00000000000000e+00
9.99999999999996e-03	-1.01604360566129e+03,-0.00000000000000e+00
1.02329299228075e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.04712854805090e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.07151930523760e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.09647819614318e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.12201845430196e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.14815362149688e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.17489755493952e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.20226443461741e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.23026877081238e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.25892541179416e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.28824955169313e-02	-1.01604360566129e+03,-0.00000000000000e+00
