time	V(vin)	V(vout)
3.645612500149548e-03	-7.925079e-03	3.314801e+00
3.665143750149547e-03	-8.612014e-03	3.320579e+00
3.684675000149547e-03	-9.169417e-03	3.325234e+00
3.704206250149546e-03	-9.588904e-03	3.328698e+00
3.723737500149546e-03	-9.864164e-03	3.330919e+00
3.743268750149545e-03	-9.991057e-03	3.331866e+00
3.762800000149545e-03	-9.967676e-03	3.331523e+00
3.782331250149545e-03	-9.794373e-03	3.329895e+00
3.801862500149544e-03	-9.473752e-03	3.327008e+00
3.821393750149544e-03	-9.010638e-03	3.322903e+00
3.840925000149543e-03	-8.411995e-03	3.317641e+00
3.860456250149543e-03	-7.686828e-03	3.311300e+00
3.889753125149542e-03	-6.386184e-03	3.299973e+00
3.919050000149542e-03	-4.869758e-03	3.286811e+00
3.948346875149542e-03	-3.188787e-03	3.272252e+00
3.977643750149541e-03	-1.400070e-03	3.256785e+00
3.988804464435255e-03	-6.942933e-04	3.250688e+00
3.999965178720969e-03	6.360420e-06	3.244639e+00
4.011125893006683e-03	7.018912e-04	3.238637e+00
4.022286607292397e-03	1.392299e-03	3.232682e+00
4.033447321578111e-03	2.077584e-03	3.226774e+00
4.044608035863825e-03	2.757746e-03	3.220914e+00
4.055768750149539e-03	3.432786e-03	3.215102e+00
4.085065625149539e-03	5.093963e-03	3.200817e+00
4.114362500149538e-03	6.583020e-03	3.188043e+00
4.143659375149537e-03	7.849643e-03	3.177217e+00
4.163190625149537e-03	8.548995e-03	3.171267e+00
4.182721875149537e-03	9.119761e-03	3.166440e+00
4.202253125149536e-03	9.553358e-03	3.162809e+00
4.221784375149536e-03	9.843263e-03	3.160430e+00
4.241315625149535e-03	9.985116e-03	3.159340e+00
4.260846875149535e-03	9.976785e-03	3.159554e+00
4.280378125149534e-03	9.818393e-03	3.161070e+00
4.299909375149534e-03	9.512323e-03	3.163864e+00
4.319440625149534e-03	9.063180e-03	3.167893e+00
4.338971875149533e-03	8.477717e-03	3.173097e+00
4.358503125149533e-03	7.764741e-03	3.179394e+00
4.387800000149532e-03	6.480135e-03	3.190679e+00
4.417096875149532e-03	4.976572e-03	3.203821e+00
4.446393750149531e-03	3.304856e-03	3.218370e+00
4.475690625149530e-03	1.521471e-03	3.233832e+00
4.486851339435245e-03	8.166451e-04	3.239927e+00
4.498012053720958e-03	1.163450e-04	3.245975e+00
4.509172768006673e-03	-5.794294e-04	3.251976e+00
4.520333482292386e-03	-1.270678e-03	3.257929e+00
4.531494196578101e-03	-1.957401e-03	3.263835e+00
4.542654910863814e-03	-2.639598e-03	3.269694e+00
4.553815625149529e-03	-3.317269e-03	3.275506e+00
4.583112500149528e-03	-4.987979e-03	3.289794e+00
4.612409375149527e-03	-6.490150e-03	3.302585e+00
4.641706250149527e-03	-7.773024e-03	3.313451e+00
4.661237500149526e-03	-8.484687e-03	3.319444e+00
4.680768750149526e-03	-9.068731e-03	3.324330e+00
4.700300000149525e-03	-9.516373e-03	3.328037e+00
4.719831250149525e-03	-9.820880e-03	3.330510e+00
4.739362500149525e-03	-9.977672e-03	3.331713e+00
4.758893750149524e-03	-9.984391e-03	3.331628e+00
4.778425000149524e-03	-9.840935e-03	3.330257e+00
4.797956250149523e-03	-9.549461e-03	3.327619e+00
4.817487500149523e-03	-9.114356e-03	3.323753e+00
4.837018750149523e-03	-8.542161e-03	3.318717e+00
4.856550000149522e-03	-7.841486e-03	3.312584e+00
4.885846875149522e-03	-6.573111e-03	3.301533e+00
4.915143750149521e-03	-5.082638e-03	3.288591e+00
