Freq.	V(vcap)
3.01995172040201e+06	(-1.56338476838509e-03dB,-1.08705216841557e+00°)
3.09029543251359e+06	(-1.63705093760903e-03dB,-1.11236657643859e+00°)
3.16227766016838e+06	(-1.71418754718551e-03dB,-1.13827018307454e+00°)
3.23593656929628e+06	(-1.79495802477311e-03dB,-1.16477668037720e+00°)
3.31131121482591e+06	(-1.87953348768951e-03dB,-1.19190007703239e+00°)
3.38844156139202e+06	(-1.96809310410380e-03dB,-1.21965470556921e+00°)
3.46736850452531e+06	(-2.06082447115773e-03dB,-1.24805522972763e+00°)
3.54813389233575e+06	(-2.15792401075657e-03dB,-1.27711665198511e+00°)
3.63078054770101e+06	(-2.25959738389306e-03dB,-1.30685432124515e+00°)
3.71535229097172e+06	(-2.36605992433810e-03dB,-1.33728394069055e+00°)
3.80189396320561e+06	(-2.47753709260366e-03dB,-1.36842157580416e+00°)
3.89045144994280e+06	(-2.59426495110552e-03dB,-1.40028366255995e+00°)
3.98107170553497e+06	(-2.71649066155692e-03dB,-1.43288701578730e+00°)
4.07380277804112e+06	(-2.84447300552580e-03dB,-1.46624883771107e+00°)
4.16869383470335e+06	(-2.97848292934511e-03dB,-1.50038672667036e+00°)
4.26579518801592e+06	(-3.11880411438932e-03dB,-1.53531868601871e+00°)
4.36515832240165e+06	(-3.26573357396435e-03dB,-1.57106313320827e+00°)
4.46683592150962e+06	(-3.41958227801583e-03dB,-1.60763890906066e+00°)
4.57088189614874e+06	(-3.58067580689928e-03dB,-1.64506528722718e+00°)
4.67735141287197e+06	(-3.74935503562101e-03dB,-1.68336198384076e+00°)
4.78630092322638e+06	(-3.92597684986703e-03dB,-1.72254916736210e+00°)
4.89778819368445e+06	(-4.11091489535949e-03dB,-1.76264746862244e+00°)
5.01187233627271e+06	(-4.30456036199163e-03dB,-1.80367799106519e+00°)
5.12861383991364e+06	(-4.50732280438779e-03dB,-1.84566232118851e+00°)
5.24807460249772e+06	(-4.71963100052451e-03dB,-1.88862253919086e+00°)
5.37031796370252e+06	(-4.94193385016135e-03dB,-1.93258122982154e+00°)
5.49540873857624e+06	(-5.17470131487711e-03dB,-1.97756149343778e+00°)
5.62341325190348e+06	(-5.41842540162096e-03dB,-2.02358695726994e+00°)
5.75439937337156e+06	(-5.67362119175995e-03dB,-2.07068178689638e+00°)
5.88843655355588e+06	(-5.94082791763855e-03dB,-2.11887069792886e+00°)
6.02559586074357e+06	(-6.22061008885385e-03dB,-2.16817896790958e+00°)
6.16595001861481e+06	(-6.51355867046912e-03dB,-2.21863244842046e+00°)
6.30957344480192e+06	(-6.82029231546337e-03dB,-2.27025757740499e+00°)
6.45654229034654e+06	(-7.14145865393570e-03dB,-2.32308139170281e+00°)
6.60693448007595e+06	(-7.47773564152217e-03dB,-2.37713153979654e+00°)
6.76082975391980e+06	(-7.82983296973988e-03dB,-2.43243629477051e+00°)
6.91830970918935e+06	(-8.19849354095636e-03dB,-2.48902456748003e+00°)
7.07945784384136e+06	(-8.58449501092172e-03dB,-2.54692591992988e+00°)
7.24435960074989e+06	(-8.98865140180509e-03dB,-2.60617057886006e+00°)
7.41310241300916e+06	(-9.41181478887474e-03dB,-2.66678944953618e+00°)
7.58577575029182e+06	(-9.85487706406913e-03dB,-2.72881412974154e+00°)
7.76247116628690e+06	(-1.03187717798172e-02dB,-2.79227692396716e+00°)
7.94328234724280e+06	(-1.08044760766281e-02dB,-2.85721085779557e+00°)
8.12830516164097e+06	(-1.13130126981097e-02dB,-2.92364969247308e+00°)
8.31763771102669e+06	(-1.18454520971842e-02dB,-2.99162793966494e+00°)
8.51138038202375e+06	(-1.24029146374652e-02dB,-3.06118087638662e+00°)
