Freq.	V(vcap)
3.09029543251356e+09	(-2.57751013770712e+01dB,-8.70517844714257e+01°)
3.16227766016835e+09	(-2.59745842656987e+01dB,-8.71187796579127e+01°)
3.23593656929625e+09	(-2.61740903706876e+01dB,-8.71842574680431e+01°)
3.31131121482588e+09	(-2.63736186521755e+01dB,-8.72482519345180e+01°)
3.38844156139199e+09	(-2.65731681166590e+01dB,-8.73107963490245e+01°)
3.46736850452528e+09	(-2.67727378149464e+01dB,-8.73719232768748e+01°)
3.54813389233572e+09	(-2.69723268401978e+01dB,-8.74316645714595e+01°)
3.63078054770098e+09	(-2.71719343260519e+01dB,-8.74900513885087e+01°)
3.71535229097169e+09	(-2.73715594448335e+01dB,-8.75471142001566e+01°)
3.80189396320557e+09	(-2.75712014058391e+01dB,-8.76028828088058e+01°)
3.89045144994277e+09	(-2.77708594536972e+01dB,-8.76573863607873e+01°)
3.98107170553493e+09	(-2.79705328668011e+01dB,-8.77106533598156e+01°)
4.07380277804109e+09	(-2.81702209558089e+01dB,-8.77627116802336e+01°)
4.16869383470331e+09	(-2.83699230622106e+01dB,-8.78135885800484e+01°)
4.26579518801588e+09	(-2.85696385569570e+01dB,-8.78633107137552e+01°)
4.36515832240162e+09	(-2.87693668391495e+01dB,-8.79119041449496e+01°)
4.46683592150959e+09	(-2.89691073347873e+01dB,-8.79593943587264e+01°)
4.57088189614870e+09	(-2.91688594955695e+01dB,-8.80058062738666e+01°)
4.67735141287193e+09	(-2.93686227977502e+01dB,-8.80511642548113e+01°)
4.78630092322634e+09	(-2.95683967410445e+01dB,-8.80954921234245e+01°)
4.89778819368441e+09	(-2.97681808475818e+01dB,-8.81388131705440e+01°)
5.01187233627267e+09	(-2.99679746609065e+01dB,-8.81811501673232e+01°)
5.12861383991360e+09	(-3.01677777450217e+01dB,-8.82225253763634e+01°)
5.24807460249767e+09	(-3.03675896834766e+01dB,-8.82629605626398e+01°)
5.37031796370247e+09	(-3.05674100784930e+01dB,-8.83024770042208e+01°)
5.49540873857619e+09	(-3.07672385501311e+01dB,-8.83410955027851e+01°)
5.62341325190343e+09	(-3.09670747354929e+01dB,-8.83788363939354e+01°)
5.75439937337151e+09	(-3.11669182879595e+01dB,-8.84157195573138e+01°)
5.88843655355583e+09	(-3.13667688764639e+01dB,-8.84517644265192e+01°)
6.02559586074351e+09	(-3.15666261847947e+01dB,-8.84869899988294e+01°)
6.16595001861476e+09	(-3.17664899109319e+01dB,-8.85214148447311e+01°)
6.30957344480187e+09	(-3.19663597664114e+01dB,-8.85550571172595e+01°)
6.45654229034649e+09	(-3.21662354757185e+01dB,-8.85879345611496e+01°)
6.60693448007589e+09	(-3.23661167757076e+01dB,-8.86200645218036e+01°)
6.76082975391975e+09	(-3.25660034150486e+01dB,-8.86514639540751e+01°)
6.91830970918929e+09	(-3.27658951536974e+01dB,-8.86821494308740e+01°)
7.07945784384130e+09	(-3.29657917623904e+01dB,-8.87121371515945e+01°)
7.24435960074982e+09	(-3.31656930221609e+01dB,-8.87414429503688e+01°)
7.41310241300910e+09	(-3.33655987238781e+01dB,-8.87700823041495e+01°)
7.58577575029176e+09	(-3.35655086678058e+01dB,-8.87980703406237e+01°)
7.76247116628683e+09	(-3.37654226631812e+01dB,-8.88254218459611e+01°)
7.94328234724273e+09	(-3.39653405278123e+01dB,-8.88521512723990e+01°)
8.12830516164090e+09	(-3.41652620876939e+01dB,-8.88782727456679e+01°)
8.31763771102662e+09	(-3.43651871766398e+01dB,-8.89038000722589e+01°)
8.51138038202367e+09	(-3.45651156359323e+01dB,-8.89287467465374e+01°)
8.70963589956071e+09	(-3.47650473139869e+01dB,-8.89531259577045e+01°)
8.91250938133736e+09	(-3.49649820660322e+01dB,-8.89769505966101e+01°)
9.12010839355900e+09	(-3.51649197538042e+01dB,-8.90002332624188e+01°)
9.33254300796981e+09	(-3.53648602452537e+01dB,-8.90229862691338e+01°)
9.54992586021425e+09	(-3.55648034142681e+01dB,-8.90452216519787e+01°)
9.77237220955800e+09	(-3.57647491404039e+01dB,-8.90669511736420e+01°)
1.00000000000000e+10	(-3.59646973086329e+01dB,-8.90881863303862e+01°)
