Freq.	V(vout)/(V(vp)-V(vm))	(V(vp)-V(vm))/(I(R1)-I(R4))
1.07151930523760e+02	(3.99994036525437e+01dB,1.79379955653961e+02°)	(4.00870255430829e+01dB,-1.79379955653961e+02°)
1.09647819614318e+02	(3.99993796835137e+01dB,1.79365514133073e+02°)	(4.00870495121128e+01dB,-1.79365514133073e+02°)
1.12201845430196e+02	(3.99993545850000e+01dB,1.79350736309424e+02°)	(4.00870746106265e+01dB,-1.79350736309424e+02°)
1.14815362149688e+02	(3.99993283037852e+01dB,1.79335614355486e+02°)	(4.00871008918413e+01dB,-1.79335614355487e+02°)
1.17489755493952e+02	(3.99993007841454e+01dB,1.79320140261832e+02°)	(4.00871284114811e+01dB,-1.79320140261833e+02°)
1.20226443461741e+02	(3.99992719677319e+01dB,1.79304305832927e+02°)	(4.00871572278947e+01dB,-1.79304305832927e+02°)
1.23026877081237e+02	(3.99992417934475e+01dB,1.79288102682825e+02°)	(4.00871874021790e+01dB,-1.79288102682825e+02°)
1.25892541179416e+02	(3.99992101973176e+01dB,1.79271522230776e+02°)	(4.00872189983089e+01dB,-1.79271522230777e+02°)
1.28824955169313e+02	(3.99991771123543e+01dB,1.79254555696721e+02°)	(4.00872520832722e+01dB,-1.79254555696721e+02°)
1.31825673855640e+02	(3.99991424684150e+01dB,1.79237194096685e+02°)	(4.00872867272116e+01dB,-1.79237194096685e+02°)
1.34896288259165e+02	(3.99991061920532e+01dB,1.79219428238080e+02°)	(4.00873230035733e+01dB,-1.79219428238080e+02°)
1.38038426460288e+02	(3.99990682063640e+01dB,1.79201248714884e+02°)	(4.00873609892625e+01dB,-1.79201248714884e+02°)
1.41253754462275e+02	(3.99990284308205e+01dB,1.79182645902724e+02°)	(4.00874007648061e+01dB,-1.79182645902724e+02°)
1.44543977074592e+02	(3.99989867811038e+01dB,1.79163609953840e+02°)	(4.00874424145227e+01dB,-1.79163609953841e+02°)
1.47910838816820e+02	(3.99989431689245e+01dB,1.79144130791941e+02°)	(4.00874860267020e+01dB,-1.79144130791941e+02°)
1.51356124843620e+02	(3.99988975018360e+01dB,1.79124198106937e+02°)	(4.00875316937905e+01dB,-1.79124198106938e+02°)
1.54881661891247e+02	(3.99988496830385e+01dB,1.79103801349567e+02°)	(4.00875795125880e+01dB,-1.79103801349568e+02°)
1.58489319246110e+02	(3.99987996111749e+01dB,1.79082929725891e+02°)	(4.00876295844516e+01dB,-1.79082929725891e+02°)
1.62181009735892e+02	(3.99987471801158e+01dB,1.79061572191666e+02°)	(4.00876820155107e+01dB,-1.79061572191667e+02°)
1.65958690743755e+02	(3.99986922787354e+01dB,1.79039717446601e+02°)	(4.00877369168911e+01dB,-1.79039717446602e+02°)
1.69824365246173e+02	(3.99986347906766e+01dB,1.79017353928473e+02°)	(4.00877944049499e+01dB,-1.79017353928474e+02°)
1.73780082874936e+02	(3.99985745941046e+01dB,1.78994469807120e+02°)	(4.00878546015219e+01dB,-1.78994469807121e+02°)
1.77827941003891e+02	(3.99985115614499e+01dB,1.78971052978300e+02°)	(4.00879176341767e+01dB,-1.78971052978300e+02°)
1.81970085860997e+02	(3.99984455591381e+01dB,1.78947091057408e+02°)	(4.00879836364884e+01dB,-1.78947091057409e+02°)
1.86208713666286e+02	(3.99983764473084e+01dB,1.78922571373066e+02°)	(4.00880527483182e+01dB,-1.78922571373066e+02°)
1.90546071796323e+02	(3.99983040795172e+01dB,1.78897480960557e+02°)	(4.00881251161094e+01dB,-1.78897480960557e+02°)
1.94984459975803e+02	(3.99982283024295e+01dB,1.78871806555125e+02°)	(4.00882008931970e+01dB,-1.78871806555126e+02°)
1.99526231496887e+02	(3.99981489554948e+01dB,1.78845534585128e+02°)	(4.00882802401317e+01dB,-1.78845534585129e+02°)
2.04173794466952e+02	(3.99980658706080e+01dB,1.78818651165036e+02°)	(4.00883633250185e+01dB,-1.78818651165036e+02°)
2.08929613085403e+02	(3.99979788717548e+01dB,1.78791142088275e+02°)	(4.00884503238717e+01dB,-1.78791142088276e+02°)
2.13796208950222e+02	(3.99978877746398e+01dB,1.78762992819932e+02°)	(4.00885414209867e+01dB,-1.78762992819933e+02°)
2.18776162394954e+02	(3.99977923862981e+01dB,1.78734188489278e+02°)	(4.00886368093285e+01dB,-1.78734188489278e+02°)
2.23872113856832e+02	(3.99976925046877e+01dB,1.78704713882147e+02°)	(4.00887366909388e+01dB,-1.78704713882148e+02°)
2.29086765276776e+02	(3.99975879182642e+01dB,1.78674553433151e+02°)	(4.00888412773623e+01dB,-1.78674553433152e+02°)
2.34422881531991e+02	(3.99974784055338e+01dB,1.78643691217717e+02°)	(4.00889507900928e+01dB,-1.78643691217717e+02°)
2.39883291901947e+02	(3.99973637345871e+01dB,1.78612110943965e+02°)	(4.00890654610395e+01dB,-1.78612110943965e+02°)
2.45470891568501e+02	(3.99972436626102e+01dB,1.78579795944413e+02°)	(4.00891855330163e+01dB,-1.78579795944414e+02°)
2.51188643150956e+02	(3.99971179353734e+01dB,1.78546729167503e+02°)	(4.00893112602531e+01dB,-1.78546729167504e+02°)
2.57039578276885e+02	(3.99969862866955e+01dB,1.78512893168952e+02°)	(4.00894429089310e+01dB,-1.78512893168952e+02°)
2.63026799189536e+02	(3.99968484378837e+01dB,1.78478270102920e+02°)	(4.00895807577429e+01dB,-1.78478270102921e+02°)
2.69153480392690e+02	(3.99967040971469e+01dB,1.78442841713004e+02°)	(4.00897250984796e+01dB,-1.78442841713005e+02°)
2.75422870333815e+02	(3.99965529589824e+01dB,1.78406589323030e+02°)	(4.00898762366442e+01dB,-1.78406589323031e+02°)
2.81838293126443e+02	(3.99963947035328e+01dB,1.78369493827675e+02°)	(4.00900344920937e+01dB,-1.78369493827675e+02°)
2.88403150312659e+02	(3.99962289959142e+01dB,1.78331535682882e+02°)	(4.00902001997123e+01dB,-1.78331535682883e+02°)
2.95120922666637e+02	(3.99960554855126e+01dB,1.78292694896097e+02°)	(4.00903737101139e+01dB,-1.78292694896098e+02°)
3.01995172040200e+02	(3.99958738052473e+01dB,1.78252951016296e+02°)	(4.00905553903792e+01dB,-1.78252951016297e+02°)
3.09029543251357e+02	(3.99956835708005e+01dB,1.78212283123821e+02°)	(4.00907456248260e+01dB,-1.78212283123822e+02°)
3.16227766016836e+02	(3.99954843798113e+01dB,1.78170669820020e+02°)	(4.00909448158152e+01dB,-1.78170669820021e+02°)
3.23593656929626e+02	(3.99952758110314e+01dB,1.78128089216676e+02°)	(4.00911533845951e+01dB,-1.78128089216677e+02°)
3.31131121482589e+02	(3.99950574234430e+01dB,1.78084518925235e+02°)	(4.00913717721835e+01dB,-1.78084518925236e+02°)
3.38844156139200e+02	(3.99948287553342e+01dB,1.78039936045834e+02°)	(4.00916004402923e+01dB,-1.78039936045835e+02°)
3.46736850452529e+02	(3.99945893233333e+01dB,1.77994317156111e+02°)	(4.00918398722932e+01dB,-1.77994317156112e+02°)
3.54813389233573e+02	(3.99943386213971e+01dB,1.77947638299814e+02°)	(4.00920905742294e+01dB,-1.77947638299815e+02°)
3.63078054770099e+02	(3.99940761197529e+01dB,1.77899874975197e+02°)	(4.00923530758736e+01dB,-1.77899874975198e+02°)
3.71535229097170e+02	(3.99938012637920e+01dB,1.77851002123202e+02°)	(4.00926279318345e+01dB,-1.77851002123203e+02°)
3.80189396320558e+02	(3.99935134729117e+01dB,1.77800994115438e+02°)	(4.00929157227148e+01dB,-1.77800994115439e+02°)
3.89045144994278e+02	(3.99932121393038e+01dB,1.77749824741933e+02°)	(4.00932170563228e+01dB,-1.77749824741935e+02°)
3.98107170553494e+02	(3.99928966266880e+01dB,1.77697467198690e+02°)	(4.00935325689385e+01dB,-1.77697467198691e+02°)
4.07380277804110e+02	(3.99925662689866e+01dB,1.77643894075015e+02°)	(4.00938629266399e+01dB,-1.77643894075016e+02°)
4.16869383470332e+02	(3.99922203689382e+01dB,1.77589077340644e+02°)	(4.00942088266883e+01dB,-1.77589077340645e+02°)
4.26579518801589e+02	(3.99918581966483e+01dB,1.77532988332653e+02°)	(4.00945709989783e+01dB,-1.77532988332655e+02°)
4.36515832240163e+02	(3.99914789880727e+01dB,1.77475597742164e+02°)	(4.00949502075538e+01dB,-1.77475597742165e+02°)
4.46683592150960e+02	(3.99910819434328e+01dB,1.77416875600833e+02°)	(4.00953472521937e+01dB,-1.77416875600834e+02°)
4.57088189614872e+02	(3.99906662255573e+01dB,1.77356791267142e+02°)	(4.00957629700692e+01dB,-1.77356791267143e+02°)
4.67735141287195e+02	(3.99902309581485e+01dB,1.77295313412485e+02°)	(4.00961982374780e+01dB,-1.77295313412486e+02°)
4.78630092322635e+02	(3.99897752239706e+01dB,1.77232410007052e+02°)	(4.00966539716559e+01dB,-1.77232410007053e+02°)
4.89778819368442e+02	(3.99892980629541e+01dB,1.77168048305520e+02°)	(4.00971311326725e+01dB,-1.77168048305521e+02°)
5.01187233627268e+02	(3.99887984702155e+01dB,1.77102194832554e+02°)	(4.00976307254110e+01dB,-1.77102194832556e+02°)
5.12861383991361e+02	(3.99882753939868e+01dB,1.77034815368121e+02°)	(4.00981538016397e+01dB,-1.77034815368123e+02°)
5.24807460249769e+02	(3.99877277334509e+01dB,1.76965874932625e+02°)	(4.00987014621756e+01dB,-1.76965874932627e+02°)
5.37031796370249e+02	(3.99871543364803e+01dB,1.76895337771872e+02°)	(4.00992748591463e+01dB,-1.76895337771874e+02°)
5.49540873857620e+02	(3.99865539972731e+01dB,1.76823167341873e+02°)	(4.00998751983534e+01dB,-1.76823167341875e+02°)
5.62341325190345e+02	(3.99859254538837e+01dB,1.76749326293486e+02°)	(4.01005037417428e+01dB,-1.76749326293487e+02°)
5.75439937337152e+02	(3.99852673856417e+01dB,1.76673776456921e+02°)	(4.01011618099849e+01dB,-1.76673776456923e+02°)
5.88843655355584e+02	(3.99845784104563e+01dB,1.76596478826112e+02°)	(4.01018507851702e+01dB,-1.76596478826113e+02°)
6.02559586074353e+02	(3.99838570820005e+01dB,1.76517393542961e+02°)	(4.01025721136260e+01dB,-1.76517393542962e+02°)
6.16595001861477e+02	(3.99831018867693e+01dB,1.76436479881487e+02°)	(4.01033273088572e+01dB,-1.76436479881489e+02°)
6.30957344480188e+02	(3.99823112410085e+01dB,1.76353696231878e+02°)	(4.01041179546181e+01dB,-1.76353696231879e+02°)
6.45654229034650e+02	(3.99814834875066e+01dB,1.76269000084468e+02°)	(4.01049457081199e+01dB,-1.76269000084470e+02°)
6.60693448007591e+02	(3.99806168922466e+01dB,1.76182348013667e+02°)	(4.01058123033799e+01dB,-1.76182348013669e+02°)
6.76082975391976e+02	(3.99797096409097e+01dB,1.76093695661848e+02°)	(4.01067195547168e+01dB,-1.76093695661850e+02°)
6.91830970918931e+02	(3.99787598352265e+01dB,1.76002997723229e+02°)	(4.01076693604001e+01dB,-1.76002997723231e+02°)
7.07945784384132e+02	(3.99777654891687e+01dB,1.75910207927766e+02°)	(4.01086637064578e+01dB,-1.75910207927768e+02°)
7.24435960074984e+02	(3.99767245249765e+01dB,1.75815279025080e+02°)	(4.01097046706501e+01dB,-1.75815279025082e+02°)
7.41310241300911e+02	(3.99756347690124e+01dB,1.75718162768464e+02°)	(4.01107944266141e+01dB,-1.75718162768466e+02°)
7.58577575029177e+02	(3.99744939474383e+01dB,1.75618809898978e+02°)	(4.01119352481883e+01dB,-1.75618809898980e+02°)
7.76247116628685e+02	(3.99732996817059e+01dB,1.75517170129687e+02°)	(4.01131295139206e+01dB,-1.75517170129690e+02°)
7.94328234724275e+02	(3.99720494838558e+01dB,1.75413192130067e+02°)	(4.01143797117707e+01dB,-1.75413192130069e+02°)
8.12830516164092e+02	(3.99707407516161e+01dB,1.75306823510620e+02°)	(4.01156884440105e+01dB,-1.75306823510623e+02°)
8.31763771102664e+02	(3.99693707632949e+01dB,1.75198010807750e+02°)	(4.01170584323316e+01dB,-1.75198010807753e+02°)
8.51138038202369e+02	(3.99679366724584e+01dB,1.75086699468936e+02°)	(4.01184925231682e+01dB,-1.75086699468938e+02°)
8.70963589956073e+02	(3.99664355023863e+01dB,1.74972833838255e+02°)	(4.01199936932402e+01dB,-1.74972833838257e+02°)
8.91250938133738e+02	(3.99648641402985e+01dB,1.74856357142321e+02°)	(4.01215650553280e+01dB,-1.74856357142324e+02°)
9.12010839355902e+02	(3.99632193313429e+01dB,1.74737211476677e+02°)	(4.01232098642836e+01dB,-1.74737211476680e+02°)
9.33254300796983e+02	(3.99614976723385e+01dB,1.74615337792723e+02°)	(4.01249315232880e+01dB,-1.74615337792725e+02°)
9.54992586021428e+02	(3.99596956052641e+01dB,1.74490675885232e+02°)	(4.01267335903624e+01dB,-1.74490675885234e+02°)
9.77237220955802e+02	(3.99578094104853e+01dB,1.74363164380542e+02°)	(4.01286197851412e+01dB,-1.74363164380545e+02°)
9.99999999999991e+02	(3.99558351997111e+01dB,1.74232740725487e+02°)	(4.01305939959154e+01dB,-1.74232740725490e+02°)
1.02329299228075e+03	(3.99537689086720e+01dB,1.74099341177154e+02°)	(4.01326602869545e+01dB,-1.74099341177157e+02°)
1.04712854805089e+03	(3.99516062895118e+01dB,1.73962900793563e+02°)	(4.01348229061147e+01dB,-1.73962900793566e+02°)
1.07151930523760e+03	(3.99493429028843e+01dB,1.73823353425352e+02°)	(4.01370862927422e+01dB,-1.73823353425355e+02°)
1.09647819614318e+03	(3.99469741097468e+01dB,1.73680631708581e+02°)	(4.01394550858797e+01dB,-1.73680631708584e+02°)
1.12201845430195e+03	(3.99444950628432e+01dB,1.73534667058748e+02°)	(4.01419341327833e+01dB,-1.73534667058751e+02°)
1.14815362149687e+03	(3.99419006978682e+01dB,1.73385389666152e+02°)	(4.01445284977583e+01dB,-1.73385389666155e+02°)
1.17489755493952e+03	(3.99391857243053e+01dB,1.73232728492703e+02°)	(4.01472434713212e+01dB,-1.73232728492706e+02°)
1.20226443461740e+03	(3.99363446159310e+01dB,1.73076611270326e+02°)	(4.01500845796955e+01dB,-1.73076611270329e+02°)
1.23026877081237e+03	(3.99333716009793e+01dB,1.72916964501093e+02°)	(4.01530575946472e+01dB,-1.72916964501097e+02°)
1.25892541179416e+03	(3.99302606519588e+01dB,1.72753713459226e+02°)	(4.01561685436677e+01dB,-1.72753713459230e+02°)
1.28824955169312e+03	(3.99270054751171e+01dB,1.72586782195127e+02°)	(4.01594237205094e+01dB,-1.72586782195131e+02°)
1.31825673855640e+03	(3.99235994995472e+01dB,1.72416093541608e+02°)	(4.01628296960793e+01dB,-1.72416093541611e+02°)
