Freq.	(V(vp)-V(vm))/(I(R1)-I(R4))
6.45654229034654e+00	-1.01001040110504e+02,-6.58632139882258e-02
6.60693448007594e+00	-1.01001040110504e+02,-6.73973653232394e-02
6.76082975391980e+00	-1.01001040110504e+02,-6.89672516334568e-02
6.91830970918935e+00	-1.01001040110504e+02,-7.05737052933798e-02
7.07945784384136e+00	-1.01001040110504e+02,-7.22175780660027e-02
7.24435960074988e+00	-1.01001040110504e+02,-7.38997415544289e-02
7.41310241300916e+00	-1.01001040110504e+02,-7.56210876640057e-02
7.58577575029182e+00	-1.01001040110504e+02,-7.73825290752256e-02
7.76247116628690e+00	-1.01001040110504e+02,-7.91849997276403e-02
7.94328234724279e+00	-1.01001040110504e+02,-8.10294553150476e-02
8.12830516164097e+00	-1.01001040110504e+02,-8.29168737922150e-02
8.31763771102669e+00	-1.01001040110504e+02,-8.48482558934012e-02
8.51138038202374e+00	-1.01001040110504e+02,-8.68246256629615e-02
8.70963589956078e+00	-1.01001040110504e+02,-8.88470309983081e-02
8.91250938133743e+00	-1.01001040110504e+02,-9.09165442055197e-02
9.12010839355907e+00	-1.01001040110504e+02,-9.30342625678917e-02
9.33254300796988e+00	-1.01001040110504e+02,-9.52013089277312e-02
9.54992586021433e+00	-1.01001040110504e+02,-9.74188322817026e-02
9.77237220955808e+00	-1.01001040110504e+02,-9.96880083900405e-02
9.99999999999997e+00	-1.01001040110504e+02,-1.02010040399953e-01
1.02329299228075e+01	-1.01001040110504e+02,-1.04386159483549e-01
1.04712854805090e+01	-1.01001040110504e+02,-1.06817625490617e-01
1.07151930523760e+01	-1.01001040110504e+02,-1.09305727616618e-01
1.09647819614318e+01	-1.01001040110504e+02,-1.11851785086234e-01
1.12201845430196e+01	-1.01001040110504e+02,-1.14457147852837e-01
1.14815362149688e+01	-1.01001040110504e+02,-1.17123197314250e-01
1.17489755493953e+01	-1.01001040110504e+02,-1.19851347045188e-01
1.20226443461741e+01	-1.01001040110504e+02,-1.22643043546749e-01
1.23026877081238e+01	-1.01001040110504e+02,-1.25499767013372e-01
1.25892541179416e+01	-1.01001040110504e+02,-1.28423032117651e-01
1.28824955169313e+01	-1.01001040110504e+02,-1.31414388813439e-01
1.31825673855640e+01	-1.01001040110504e+02,-1.34475423157650e-01
1.34896288259165e+01	-1.01001040110504e+02,-1.37607758151212e-01
1.38038426460288e+01	-1.01001040110504e+02,-1.40813054599600e-01
1.41253754462275e+01	-1.01001040110504e+02,-1.44093011993418e-01
1.44543977074592e+01	-1.01001040110504e+02,-1.47449369409491e-01
1.47910838816820e+01	-1.01001040110504e+02,-1.50883906432949e-01
1.51356124843620e+01	-1.01001040110505e+02,-1.54398444100782e-01
1.54881661891248e+01	-1.01001040110504e+02,-1.57994845867381e-01
1.58489319246111e+01	-1.01001040110504e+02,-1.61675018592569e-01
1.62181009735892e+01	-1.01001040110504e+02,-1.65440913552637e-01
1.65958690743755e+01	-1.01001040110504e+02,-1.69294527474939e-01
1.69824365246174e+01	-1.01001040110504e+02,-1.73237903596587e-01
1.73780082874937e+01	-1.01001040110504e+02,-1.77273132747796e-01
1.77827941003892e+01	-1.01001040110504e+02,-1.81402354460476e-01
1.81970085860998e+01	-1.01001040110504e+02,-1.85627758102634e-01
1.86208713666286e+01	-1.01001040110504e+02,-1.89951584039213e-01
1.90546071796324e+01	-1.01001040110504e+02,-1.94376124819955e-01
1.94984459975804e+01	-1.01001040110504e+02,-1.98903726394949e-01
1.99526231496887e+01	-1.01001040110504e+02,-2.03536789358480e-01
2.04173794466952e+01	-1.01001040110504e+02,-2.08277770221856e-01
2.08929613085403e+01	-1.01001040110504e+02,-2.13129182715887e-01
2.13796208950222e+01	-1.01001040110504e+02,-2.18093599123691e-01
2.18776162394954e+01	-1.01001040110504e+02,-2.23173651644561e-01
2.23872113856833e+01	-1.01001040110504e+02,-2.28372033789586e-01
2.29086765276776e+01	-1.01001040110504e+02,-2.33691501809787e-01
2.34422881531991e+01	-1.01001040110504e+02,-2.39134876157520e-01
2.39883291901948e+01	-1.01001040110504e+02,-2.44705042981916e-01
2.45470891568502e+01	-1.01001040110504e+02,-2.50404955659155e-01
2.51188643150957e+01	-1.01001040110504e+02,-2.56237636358387e-01
2.57039578276885e+01	-1.01001040110504e+02,-2.62206177644121e-01
2.63026799189537e+01	-1.01001040110504e+02,-2.68313744115952e-01
2.69153480392690e+01	-1.01001040110504e+02,-2.74563574086465e-01
2.75422870333815e+01	-1.01001040110504e+02,-2.80958981298237e-01
2.81838293126444e+01	-1.01001040110504e+02,-2.87503356680826e-01
2.88403150312659e+01	-1.01001040110504e+02,-2.94200170148683e-01
2.95120922666637e+01	-1.01001040110504e+02,-3.01052972440953e-01
3.01995172040200e+01	-1.01001040110504e+02,-3.08065397004118e-01
3.09029543251358e+01	-1.01001040110504e+02,-3.15241161918503e-01
3.16227766016837e+01	-1.01001040110504e+02,-3.22584071869646e-01
3.23593656929627e+01	-1.01001040110504e+02,-3.30098020165600e-01
3.31131121482590e+01	-1.01001040110504e+02,-3.37786990801210e-01
3.38844156139201e+01	-1.01001040110504e+02,-3.45655060570481e-01
3.46736850452530e+01	-1.01001040110504e+02,-3.53706401228153e-01
3.54813389233574e+01	-1.01001040110504e+02,-3.61945281701614e-01
3.63078054770100e+01	-1.01001040110504e+02,-3.70376070354345e-01
3.71535229097171e+01	-1.01001040110504e+02,-3.79003237302085e-01
3.80189396320559e+01	-1.01001040110504e+02,-3.87831356782943e-01
3.89045144994279e+01	-1.01001040110504e+02,-3.96865109582722e-01
3.98107170553495e+01	-1.01001040110504e+02,-4.06109285516733e-01
4.07380277804111e+01	-1.01001040110504e+02,-4.15568785969417e-01
4.16869383470333e+01	-1.01001040110504e+02,-4.25248626493125e-01
4.26579518801591e+01	-1.01001040110504e+02,-4.35153939467431e-01
4.36515832240164e+01	-1.01001040110504e+02,-4.45289976820385e-01
4.46683592150961e+01	-1.01001040110504e+02,-4.55662112813160e-01
4.57088189614873e+01	-1.01001040110504e+02,-4.66275846889549e-01
4.67735141287196e+01	-1.01001040110504e+02,-4.77136806591849e-01
4.78630092322636e+01	-1.01001040110504e+02,-4.88250750544657e-01
4.89778819368444e+01	-1.01001040110505e+02,-4.99623571508166e-01
5.01187233627270e+01	-1.01001040110504e+02,-5.11261299502588e-01
5.12861383991362e+01	-1.01001040110504e+02,-5.23170105005350e-01
5.24807460249770e+01	-1.01001040110504e+02,-5.35356302222761e-01
5.37031796370250e+01	-1.01001040110504e+02,-5.47826352437889e-01
5.49540873857622e+01	-1.01001040110504e+02,-5.60586867436419e-01
5.62341325190346e+01	-1.01001040110505e+02,-5.73644613012308e-01
5.75439937337154e+01	-1.01001040110504e+02,-5.87006512555099e-01
5.88843655355586e+01	-1.01001040110504e+02,-6.00679650720798e-01
6.02559586074355e+01	-1.01001040110504e+02,-6.14671277188243e-01
6.16595001861479e+01	-1.01001040110504e+02,-6.28988810502990e-01
6.30957344480190e+01	-1.01001040110504e+02,-6.43639842010717e-01
6.45654229034652e+01	-1.01001040110504e+02,-6.58632139882258e-01
6.60693448007593e+01	-1.01001040110504e+02,-6.73973653232392e-01
6.76082975391978e+01	-1.01001040110504e+02,-6.89672516334566e-01
6.91830970918933e+01	-1.01001040110505e+02,-7.05737052933796e-01
7.07945784384134e+01	-1.01001040110504e+02,-7.22175780660025e-01
7.24435960074986e+01	-1.01001040110504e+02,-7.38997415544286e-01
7.41310241300914e+01	-1.01001040110504e+02,-7.56210876640057e-01
7.58577575029180e+01	-1.01001040110504e+02,-7.73825290752256e-01
7.76247116628688e+01	-1.01001040110504e+02,-7.91849997276400e-01
7.94328234724277e+01	-1.01001040110504e+02,-8.10294553150475e-01
8.12830516164095e+01	-1.01001040110504e+02,-8.29168737922146e-01
8.31763771102667e+01	-1.01001040110504e+02,-8.48482558934009e-01
8.51138038202372e+01	-1.01001040110504e+02,-8.68246256629614e-01
8.70963589956076e+01	-1.01001040110504e+02,-8.88470309983080e-01
8.91250938133741e+01	-1.01001040110504e+02,-9.09165442055195e-01
9.12010839355905e+01	-1.01001040110504e+02,-9.30342625678916e-01
9.33254300796986e+01	-1.01001040110504e+02,-9.52013089277311e-01
9.54992586021431e+01	-1.01001040110504e+02,-9.74188322817025e-01
9.77237220955805e+01	-1.01001040110504e+02,-9.96880083900402e-01
9.99999999999995e+01	-1.01001040110504e+02,-1.02010040399953e+00
1.02329299228075e+02	-1.01001040110504e+02,-1.04386159483549e+00
1.04712854805089e+02	-1.01001040110504e+02,-1.06817625490617e+00
1.07151930523760e+02	-1.01001040110505e+02,-1.09305727616618e+00
1.09647819614318e+02	-1.01001040110504e+02,-1.11851785086234e+00
1.12201845430196e+02	-1.01001040110504e+02,-1.14457147852836e+00
1.14815362149688e+02	-1.01001040110504e+02,-1.17123197314250e+00
1.17489755493952e+02	-1.01001040110504e+02,-1.19851347045188e+00
1.20226443461741e+02	-1.01001040110504e+02,-1.22643043546749e+00
1.23026877081237e+02	-1.01001040110504e+02,-1.25499767013372e+00
1.25892541179416e+02	-1.01001040110505e+02,-1.28423032117651e+00
1.28824955169313e+02	-1.01001040110504e+02,-1.31414388813438e+00
1.31825673855640e+02	-1.01001040110504e+02,-1.34475423157650e+00
1.34896288259165e+02	-1.01001040110504e+02,-1.37607758151212e+00
1.38038426460288e+02	-1.01001040110504e+02,-1.40813054599600e+00
1.41253754462275e+02	-1.01001040110504e+02,-1.44093011993418e+00
1.44543977074592e+02	-1.01001040110505e+02,-1.47449369409491e+00
1.47910838816820e+02	-1.01001040110504e+02,-1.50883906432948e+00
