Freq.	V(vout)/(V(vp)-V(vm))
1.38038426460287e+000	(4.00691889057367e+001dB,1.79997939529246e+002°)
1.41253754462274e+000	(4.00691889054984e+001dB,1.79997891534716e+002°)
1.44543977074591e+000	(4.00691889052490e+001dB,1.79997842422251e+002°)
1.47910838816819e+000	(4.00691889049877e+001dB,1.79997792165809e+002°)
1.51356124843619e+000	(4.00691889047141e+001dB,1.79997740738744e+002°)
1.54881661891247e+000	(4.00691889044277e+001dB,1.79997688113789e+002°)
1.58489319246110e+000	(4.00691889041278e+001dB,1.79997634263042e+002°)
1.62181009735891e+000	(4.00691889038137e+001dB,1.79997579157949e+002°)
1.65958690743754e+000	(4.00691889034849e+001dB,1.79997522769294e+002°)
1.69824365246173e+000	(4.00691889031405e+001dB,1.79997465067178e+002°)
1.73780082874936e+000	(4.00691889027798e+001dB,1.79997406021008e+002°)
1.77827941003890e+000	(4.00691889024022e+001dB,1.79997345599475e+002°)
1.81970085860996e+000	(4.00691889020068e+001dB,1.79997283770544e+002°)
1.86208713666285e+000	(4.00691889015928e+001dB,1.79997220501433e+002°)
1.90546071796323e+000	(4.00691889011593e+001dB,1.79997155758594e+002°)
1.94984459975802e+000	(4.00691889007052e+001dB,1.79997089507701e+002°)
1.99526231496886e+000	(4.00691889002299e+001dB,1.79997021713626e+002°)
2.04173794466951e+000	(4.00691888997322e+001dB,1.79996952340425e+002°)
2.08929613085402e+000	(4.00691888992109e+001dB,1.79996881351314e+002°)
2.13796208950221e+000	(4.00691888986651e+001dB,1.79996808708655e+002°)
2.18776162394953e+000	(4.00691888980936e+001dB,1.79996734373930e+002°)
2.23872113856832e+000	(4.00691888974951e+001dB,1.79996658307727e+002°)
2.29086765276775e+000	(4.00691888968685e+001dB,1.79996580469715e+002°)
2.34422881531990e+000	(4.00691888962122e+001dB,1.79996500818623e+002°)
2.39883291901946e+000	(4.00691888955252e+001dB,1.79996419312218e+002°)
2.45470891568500e+000	(4.00691888948057e+001dB,1.79996335907286e+002°)
2.51188643150955e+000	(4.00691888940522e+001dB,1.79996250559602e+002°)
2.57039578276884e+000	(4.00691888932634e+001dB,1.79996163223916e+002°)
2.63026799189535e+000	(4.00691888924373e+001dB,1.79996073853921e+002°)
2.69153480392689e+000	(4.00691888915722e+001dB,1.79995982402231e+002°)
2.75422870333814e+000	(4.00691888906664e+001dB,1.79995888820357e+002°)
2.81838293126442e+000	(4.00691888897179e+001dB,1.79995793058682e+002°)
2.88403150312657e+000	(4.00691888887247e+001dB,1.79995695066431e+002°)
2.95120922666635e+000	(4.00691888876847e+001dB,1.79995594791647e+002°)
3.01995172040198e+000	(4.00691888865958e+001dB,1.79995492181163e+002°)
3.09029543251356e+000	(4.00691888854554e+001dB,1.79995387180574e+002°)
3.16227766016834e+000	(4.00691888842613e+001dB,1.79995279734207e+002°)
3.23593656929625e+000	(4.00691888830110e+001dB,1.79995169785093e+002°)
3.31131121482587e+000	(4.00691888817018e+001dB,1.79995057274935e+002°)
3.38844156139199e+000	(4.00691888803307e+001dB,1.79994942144078e+002°)
3.46736850452528e+000	(4.00691888788951e+001dB,1.79994824331480e+002°)
3.54813389233571e+000	(4.00691888773919e+001dB,1.79994703774674e+002°)
3.63078054770097e+000	(4.00691888758178e+001dB,1.79994580409739e+002°)
3.71535229097168e+000	(4.00691888741695e+001dB,1.79994454171265e+002°)
