Freq.	V(vout)/(V(vp)-V(vm))
1.25892541179416e-001	(4.00533200741992e+001dB,1.79999461159559e+002°)
1.28824955169313e-001	(4.00533200741837e+001dB,1.79999448608354e+002°)
1.31825673855640e-001	(4.00533200741674e+001dB,1.79999435764792e+002°)
1.34896288259165e-001	(4.00533200741471e+001dB,1.79999422622066e+002°)
1.38038426460288e-001	(4.00533200741255e+001dB,1.79999409173206e+002°)
1.41253754462275e-001	(4.00533200741079e+001dB,1.79999395411082e+002°)
1.44543977074592e-001	(4.00533200740857e+001dB,1.79999381328397e+002°)
1.47910838816820e-001	(4.00533200740610e+001dB,1.79999366917684e+002°)
1.51356124843620e-001	(4.00533200740377e+001dB,1.79999352171302e+002°)
1.54881661891248e-001	(4.00533200740141e+001dB,1.79999337081434e+002°)
1.58489319246111e-001	(4.00533200739861e+001dB,1.79999321640076e+002°)
1.62181009735892e-001	(4.00533200739615e+001dB,1.79999305839044e+002°)
1.65958690743755e-001	(4.00533200739309e+001dB,1.79999289669958e+002°)
1.69824365246174e-001	(4.00533200738986e+001dB,1.79999273124246e+002°)
1.73780082874937e-001	(4.00533200738679e+001dB,1.79999256193135e+002°)
1.77827941003892e-001	(4.00533200738363e+001dB,1.79999238867647e+002°)
1.81970085860998e-001	(4.00533200738030e+001dB,1.79999221138597e+002°)
1.86208713666286e-001	(4.00533200737652e+001dB,1.79999202996585e+002°)
1.90546071796324e-001	(4.00533200737292e+001dB,1.79999184431991e+002°)
1.94984459975804e-001	(4.00533200736888e+001dB,1.79999165434971e+002°)
1.99526231496887e-001	(4.00533200736456e+001dB,1.79999145995454e+002°)
2.04173794466952e-001	(4.00533200736038e+001dB,1.79999126103133e+002°)
2.08929613085403e-001	(4.00533200735590e+001dB,1.79999105747460e+002°)
2.13796208950222e-001	(4.00533200735104e+001dB,1.79999084917642e+002°)
2.18776162394954e-001	(4.00533200734602e+001dB,1.79999063602636e+002°)
2.23872113856833e-001	(4.00533200734094e+001dB,1.79999041791140e+002°)
2.29086765276776e-001	(4.00533200733521e+001dB,1.79999019471588e+002°)
2.34422881531991e-001	(4.00533200732985e+001dB,1.79998996632148e+002°)
2.39883291901948e-001	(4.00533200732364e+001dB,1.79998973260708e+002°)
2.45470891568502e-001	(4.00533200731741e+001dB,1.79998949344877e+002°)
2.51188643150957e-001	(4.00533200731084e+001dB,1.79998924871976e+002°)
2.57039578276885e-001	(4.00533200730414e+001dB,1.79998899829027e+002°)
2.63026799189537e-001	(4.00533200729658e+001dB,1.79998874202753e+002°)
2.69153480392690e-001	(4.00533200728905e+001dB,1.79998847979567e+002°)
2.75422870333815e-001	(4.00533200728129e+001dB,1.79998821145563e+002°)
2.81838293126444e-001	(4.00533200727310e+001dB,1.79998793686516e+002°)
2.88403150312659e-001	(4.00533200726445e+001dB,1.79998765587865e+002°)
2.95120922666637e-001	(4.00533200725534e+001dB,1.79998736834712e+002°)
3.01995172040200e-001	(4.00533200724575e+001dB,1.79998707411814e+002°)
3.09029543251358e-001	(4.00533200723609e+001dB,1.79998677303567e+002°)
3.16227766016837e-001	(4.00533200722550e+001dB,1.79998646494009e+002°)
3.23593656929627e-001	(4.00533200721478e+001dB,1.79998614966805e+002°)
3.31131121482590e-001	(4.00533200720315e+001dB,1.79998582705237e+002°)
3.38844156139201e-001	(4.00533200719129e+001dB,1.79998549692201e+002°)
3.46736850452530e-001	(4.00533200717877e+001dB,1.79998515910193e+002°)
3.54813389233574e-001	(4.00533200716567e+001dB,1.79998481341301e+002°)
3.63078054770100e-001	(4.00533200715191e+001dB,1.79998445967195e+002°)
3.71535229097171e-001	(4.00533200713763e+001dB,1.79998409769121e+002°)
3.80189396320559e-001	(4.00533200712248e+001dB,1.79998372727885e+002°)
3.89045144994279e-001	(4.00533200710683e+001dB,1.79998334823848e+002°)
3.98107170553495e-001	(4.00533200709006e+001dB,1.79998296036913e+002°)
4.07380277804111e-001	(4.00533200707297e+001dB,1.79998256346515e+002°)
4.16869383470333e-001	(4.00533200705507e+001dB,1.79998215731606e+002°)
4.26579518801591e-001	(4.00533200703599e+001dB,1.79998174170657e+002°)
4.36515832240164e-001	(4.00533200701612e+001dB,1.79998131641629e+002°)
4.46683592150961e-001	(4.00533200699539e+001dB,1.79998088121971e+002°)
4.57088189614873e-001	(4.00533200697347e+001dB,1.79998043588611e+002°)
4.67735141287196e-001	(4.00533200695088e+001dB,1.79997998017936e+002°)
