frequency	V(onoise)
3.388441561392020e-002	9.769315e-007
3.467368504525311e-002	9.658362e-007
3.548133892335749e-002	9.548701e-007
3.630780547701008e-002	9.440315e-007
3.715352290971719e-002	9.333193e-007
3.801893963205606e-002	9.227320e-007
3.890451449942799e-002	9.122682e-007
3.981071705534966e-002	9.019266e-007
4.073802778041120e-002	8.917060e-007
4.168693834703347e-002	8.816048e-007
4.265795188015920e-002	8.716220e-007
4.365158322401652e-002	8.617561e-007
4.466835921509623e-002	8.520061e-007
4.570881896148742e-002	8.423705e-007
4.677351412871973e-002	8.328482e-007
4.786300923226374e-002	8.234380e-007
4.897788193684452e-002	8.141387e-007
5.011872336272712e-002	8.049491e-007
5.128613839913638e-002	7.958681e-007
5.248074602497715e-002	7.868945e-007
5.370317963702516e-002	7.780273e-007
5.495408738576234e-002	7.692652e-007
5.623413251903479e-002	7.606073e-007
5.754399373371557e-002	7.520525e-007
5.888436553555877e-002	7.435996e-007
6.025595860743564e-002	7.352478e-007
6.165950018614807e-002	7.269958e-007
6.309573444801918e-002	7.188428e-007
6.456542290346540e-002	7.107878e-007
6.606934480075945e-002	7.028297e-007
6.760829753919802e-002	6.949676e-007
6.918309709189348e-002	6.872006e-007
7.079457843841361e-002	6.795278e-007
7.244359600749882e-002	6.719482e-007
7.413102413009155e-002	6.644610e-007
7.585775750291818e-002	6.570652e-007
7.762471166286897e-002	6.497601e-007
7.943282347242793e-002	6.425448e-007
8.128305161640970e-002	6.354184e-007
8.317637711026686e-002	6.283801e-007
8.511380382023739e-002	6.214292e-007
8.709635899560780e-002	6.145648e-007
8.912509381337429e-002	6.077863e-007
9.120108393559070e-002	6.010929e-007
9.332543007969883e-002	5.944838e-007
9.549925860214331e-002	5.879583e-007
9.772372209558078e-002	5.815157e-007
9.999999999999970e-002	5.751555e-007
1.023292992280751e-001	5.688768e-007
1.047128548050896e-001	5.626791e-007
1.071519305237603e-001	5.565618e-007
1.096478196143182e-001	5.505241e-007
1.122018454301960e-001	5.445656e-007
1.148153621496879e-001	5.386858e-007
1.174897554939526e-001	5.328839e-007
1.202264434617409e-001	5.271596e-007
1.230268770812378e-001	5.215122e-007
1.258925411794163e-001	5.159413e-007
1.288249551693130e-001	5.104465e-007
1.318256738556403e-001	5.050272e-007
1.348962882591649e-001	4.996830e-007
1.380384264602880e-001	4.944135e-007
1.412537544622749e-001	4.892184e-007
1.445439770745922e-001	4.840971e-007
1.479108388168202e-001	4.790495e-007
1.513561248436203e-001	4.740751e-007
1.548816618912476e-001	4.691736e-007
1.584893192461108e-001	4.643448e-007
1.621810097358924e-001	4.595884e-007
1.659586907437555e-001	4.549040e-007
1.698243652461738e-001	4.502916e-007
1.737800828749369e-001	4.457509e-007
1.778279410038916e-001	4.412817e-007
1.819700858609977e-001	4.368838e-007
1.862087136662861e-001	4.325572e-007
1.905460717963240e-001	4.283018e-007
1.949844599758038e-001	4.241174e-007
1.995262314968872e-001	4.200040e-007
2.041737944669521e-001	4.159616e-007
2.089296130854031e-001	4.119901e-007
2.137962089502223e-001	4.080897e-007
2.187761623949543e-001	4.042603e-007
2.238721138568330e-001	4.005020e-007
2.290867652767764e-001	3.968149e-007
2.344228815319912e-001	3.931992e-007
2.398832919019480e-001	3.896550e-007
2.454708915685020e-001	3.861825e-007
2.511886431509570e-001	3.827819e-007
2.570395782768853e-001	3.794534e-007
2.630267991895371e-001	3.761974e-007
2.691534803926904e-001	3.730140e-007
2.754228703338155e-001	3.699037e-007
2.818382931264442e-001	3.668667e-007
2.884031503126593e-001	3.639034e-007
2.951209226666373e-001	3.610142e-007
3.019951720402003e-001	3.581996e-007
3.090295432513577e-001	3.554598e-007
3.162277660168365e-001	3.527955e-007
3.235936569296268e-001	3.502069e-007
3.311311214825896e-001	3.476947e-007
3.388441561392009e-001	3.452592e-007
3.467368504525300e-001	3.429008e-007
3.548133892335738e-001	3.406202e-007
3.630780547700996e-001	3.384177e-007
3.715352290971707e-001	3.362938e-007
3.801893963205594e-001	3.342488e-007
3.890451449942787e-001	3.322831e-007
3.981071705534953e-001	3.303970e-007
4.073802778041107e-001	3.285907e-007
4.168693834703334e-001	3.268644e-007
4.265795188015906e-001	3.252182e-007
4.365158322401638e-001	3.236519e-007
4.466835921509609e-001	3.221653e-007
4.570881896148728e-001	3.207581e-007
4.677351412871959e-001	3.194295e-007
4.786300923226360e-001	3.181787e-007
4.897788193684438e-001	3.170046e-007
5.011872336272698e-001	3.159056e-007
5.128613839913623e-001	3.148798e-007
5.248074602497700e-001	3.139249e-007
