time,V(vout3),V(vp)-V(vm)
8.180635377037583e-004,3.220025e+000,-6.432898e-003
8.222488055609012e-004,3.217625e+000,-6.353563e-003
8.264340734180440e-004,3.214726e+000,-6.269693e-003
8.313168859180440e-004,3.210711e+000,-6.166366e-003
8.361996984180440e-004,3.206042e+000,-6.057472e-003
8.410825109180440e-004,3.200717e+000,-5.943011e-003
8.459653234180440e-004,3.194738e+000,-5.822985e-003
8.508481359180440e-004,3.188104e+000,-5.697391e-003
8.557309484180441e-004,3.180816e+000,-5.566232e-003
8.606137609180441e-004,3.172873e+000,-5.429506e-003
8.668916627037584e-004,3.161698e+000,-5.246065e-003
8.731695644894727e-004,3.149548e+000,-5.055209e-003
8.794474662751870e-004,3.136423e+000,-4.856937e-003
8.857253680609012e-004,3.122322e+000,-4.651250e-003
8.920032698466155e-004,3.107247e+000,-4.438147e-003
8.982811716323298e-004,3.091195e+000,-4.217630e-003
9.045590734180441e-004,3.074169e+000,-3.989697e-003
9.143246984180441e-004,3.045699e+000,-3.620707e-003
9.240903234180441e-004,3.015484e+000,-3.241734e-003
9.338559484180441e-004,2.983525e+000,-2.852776e-003
9.436215734180441e-004,2.949822e+000,-2.453833e-003
9.533871984180441e-004,2.914374e+000,-2.044906e-003
9.631528234180441e-004,2.877181e+000,-1.625995e-003
9.729184484180442e-004,2.838243e+000,-1.197100e-003
9.784988055609011e-004,2.815529e+000,-9.514750e-004
9.840791627037581e-004,2.792500e+000,-7.054027e-004
9.896595198466151e-004,2.769157e+000,-4.588828e-004
9.952398769894723e-004,2.745500e+000,-2.119152e-004
1.000820234132329e-003,2.721529e+000,3.550004e-005
1.006400591275186e-003,2.697244e+000,2.833629e-004
1.011980948418043e-003,2.672644e+000,5.316734e-004
1.018258850203757e-003,2.644692e+000,8.103410e-004
1.024536751989472e-003,2.616627e+000,1.086673e-003
1.030814653775186e-003,2.588449e+000,1.360669e-003
1.037092555560900e-003,2.560157e+000,1.632330e-003
1.043370457346614e-003,2.531753e+000,1.901656e-003
1.049648359132328e-003,2.503235e+000,2.168646e-003
1.055926260918042e-003,2.474604e+000,2.433300e-003
1.064994341275185e-003,2.433167e+000,2.810089e-003
1.074062421632328e-003,2.392278e+000,3.174928e-003
1.083130501989471e-003,2.351938e+000,3.527816e-003
1.092198582346613e-003,2.312145e+000,3.868755e-003
1.101266662703756e-003,2.272901e+000,4.197743e-003
1.110334743060898e-003,2.234205e+000,4.514782e-003
1.119402823418041e-003,2.196057e+000,4.819870e-003
1.130563537703755e-003,2.150382e+000,5.173805e-003
1.141724251989469e-003,2.106933e+000,5.498760e-003
1.152884966275183e-003,2.065712e+000,5.794734e-003
1.164045680560897e-003,2.026718e+000,6.061729e-003
1.175206394846611e-003,1.989952e+000,6.299744e-003
1.186367109132325e-003,1.955413e+000,6.508779e-003
1.197527823418039e-003,1.923101e+000,6.688833e-003
1.203108180560896e-003,1.908197e+000,6.765015e-003
1.208688537703753e-003,1.894063e+000,6.832731e-003
1.214268894846610e-003,1.880699e+000,6.891980e-003
1.219849251989468e-003,1.868104e+000,6.942764e-003
1.225429609132325e-003,1.856280e+000,6.985080e-003
