Freq.,V(vout3)/(V(vp)-V(vm))
1.90546071796324e-001,(1.01366352537429e+001dB,-1.08792310831095e+001°)
1.94984459975804e-001,(1.05421918062360e+001dB,-1.11430523654820e+001°)
1.99526231496887e-001,(1.09479966843925e+001dB,-1.14137700047438e+001°)
2.04173794466952e-001,(1.13540602136341e+001dB,-1.16915991005667e+001°)
2.08929613085403e-001,(1.17603930627003e+001dB,-1.19767637379112e+001°)
2.13796208950222e-001,(1.21670062438258e+001dB,-1.22694974884153e+001°)
2.18776162394954e-001,(1.25739111124591e+001dB,-1.25700439449403e+001°)
2.23872113856833e-001,(1.29811193642618e+001dB,-1.28786572915910e+001°)
2.29086765276776e-001,(1.33886430288930e+001dB,-1.31956029116731e+001°)
2.34422881531991e-001,(1.37964944639259e+001dB,-1.35211580362034e+001°)
2.39883291901948e-001,(1.42046863425508e+001dB,-1.38556124357697e+001°)
2.45470891568502e-001,(1.46132316397135e+001dB,-1.41992691586747e+001°)
2.51188643150957e-001,(1.50221436133551e+001dB,-1.45524453185058e+001°)
2.57039578276885e-001,(1.54314357822359e+001dB,-1.49154729344176e+001°)
2.63026799189537e-001,(1.58411218957311e+001dB,-1.52886998275975e+001°)
2.69153480392690e-001,(1.62512159006363e+001dB,-1.56724905775469e+001°)
2.75422870333815e-001,(1.66617319002263e+001dB,-1.60672275419888e+001°)
2.81838293126444e-001,(1.70726841028199e+001dB,-1.64733119443239e+001°)
2.88403150312659e-001,(1.74840867655674e+001dB,-1.68911650327283e+001°)
2.95120922666637e-001,(1.78959541248868e+001dB,-1.73212293150472e+001°)
3.01995172040200e-001,(1.83083003153430e+001dB,-1.77639698737226e+001°)
3.09029543251358e-001,(1.87211392778635e+001dB,-1.82198757650096e+001°)
3.16227766016837e-001,(1.91344846492391e+001dB,-1.86894615066507e+001°)
3.23593656929627e-001,(1.95483496382559e+001dB,-1.91732686580814e+001°)
3.31131121482590e-001,(1.99627468788900e+001dB,-1.96718674969699e+001°)
3.38844156139201e-001,(2.03776882642729e+001dB,-2.01858587955002e+001°)
3.46736850452530e-001,(2.07931847547649e+001dB,-2.07158756992985e+001°)
3.54813389233574e-001,(2.12092461582000e+001dB,-2.12625857110838e+001°)
3.63078054770100e-001,(2.16258808777125e+001dB,-2.18266927801353e+001°)
3.71535229097171e-001,(2.20430956251826e+001dB,-2.24089394972975e+001°)
3.80189396320559e-001,(2.24608950918652e+001dB,-2.30101093935004e+001°)
3.89045144994279e-001,(2.28792815770876e+001dB,-2.36310293375246e+001°)
3.98107170553495e-001,(2.32982545621418e+001dB,-2.42725720259290e+001°)
4.07380277804111e-001,(2.37178102281364e+001dB,-2.49356585544939e+001°)
4.16869383470333e-001,(2.41379409095036e+001dB,-2.56212610561679e+001°)
4.26579518801591e-001,(2.45586344748066e+001dB,-2.63304053849963e+001°)
4.36515832240164e-001,(2.49798736261846e+001dB,-2.70641738189391e+001°)
4.46683592150961e-001,(2.54016351093349e+001dB,-2.78237077462450e+001°)
4.57088189614873e-001,(2.58238888228187e+001dB,-2.86102102902553e+001°)
4.67735141287196e-001,(2.62465968152265e+001dB,-2.94249488155977e+001°)
4.78630092322636e-001,(2.66697121627011e+001dB,-3.02692572444979e+001°)
4.89778819368444e-001,(2.70931777074649e+001dB,-3.11445380949481e+001°)
5.01187233627270e-001,(2.75169246542208e+001dB,-3.20522641325260e+001°)
5.12861383991362e-001,(2.79408710029295e+001dB,-3.29939795040664e+001°)
5.24807460249770e-001,(2.83649198116087e+001dB,-3.39713001941814e+001°)
5.37031796370250e-001,(2.87889572773134e+001dB,-3.49859136141765e+001°)
5.49540873857622e-001,(2.92128506241404e+001dB,-3.60395770972718e+001°)
5.62341325190346e-001,(2.96364457939205e+001dB,-3.71341150340993e+001°)
5.75439937337154e-001,(3.00595649344652e+001dB,-3.82714143386012e+001°)
5.88843655355586e-001,(3.04820036933783e+001dB,-3.94534178874101e+001°)
6.02559586074355e-001,(3.09035283217159e+001dB,-4.06821155268765e+001°)
6.16595001861479e-001,(3.13238726184473e+001dB,-4.19595321933645e+001°)
6.30957344480190e-001,(3.17427347426625e+001dB,-4.32877126474780e+001°)
6.45654229034652e-001,(3.21597739504471e+001dB,-4.46687022860320e+001°)
6.60693448007592e-001,(3.25746073259461e+001dB,-4.61045234732393e+001°)
6.76082975391978e-001,(3.29868066085053e+001dB,-4.75971468327455e+001°)
6.91830970918933e-001,(3.33958952383644e+001dB,-4.91484569750310e+001°)
7.07945784384134e-001,(3.38013457806273e+001dB,-5.07602122126103e+001°)
7.24435960074986e-001,(3.42025779205189e+001dB,-5.24339979521631e+001°)
7.41310241300913e-001,(3.45989572631456e+001dB,-5.41711736628660e+001°)
7.58577575029179e-001,(3.49897951963022e+001dB,-5.59728136179334e+001°)
7.76247116628687e-001,(3.53743501069082e+001dB,-5.78396420022486e+001°)
7.94328234724277e-001,(3.57518302676851e+001dB,-5.97719634779276e+001°)
8.12830516164095e-001,(3.61213986853164e+001dB,-6.17695908953896e+001°)
8.31763771102666e-001,(3.64821802060019e+001dB,-6.38317725093685e+001°)
8.51138038202372e-001,(3.68332710917168e+001dB,-6.59571217665112e+001°)
8.70963589956076e-001,(3.71737512015585e+001dB,-6.81435534110012e+001°)
8.91250938133740e-001,(3.75026987708830e+001dB,-7.03882302214681e+001°)
9.12010839355904e-001,(3.78192076039210e+001dB,-7.26875250429509e+001°)
9.33254300796986e-001,(3.81224063031860e+001dB,-7.50370028013918e+001°)
9.54992586021430e-001,(3.84114789181410e+001dB,-7.74314267845475e+001°)
9.77237220955805e-001,(3.86856861988197e+001dB,-7.98647925742273e+001°)
9.99999999999994e-001,(3.89443864420273e+001dB,-8.23303916080838e+001°)
1.02329299228075e+000,(3.91870548161113e+001dB,-8.48209044980929e+001°)
1.04712854805089e+000,(3.94133000091712e+001dB,-8.73285220839966e+001°)
1.07151930523760e+000,(3.96228771361406e+001dB,-8.98450899750992e+001°)
1.09647819614318e+000,(3.98156960321511e+001dB,-9.23622703015366e+001°)
1.12201845430196e+000,(3.99918243449967e+001dB,-9.48717128282260e+001°)
1.14815362149688e+000,(4.01514852130634e+001dB,-9.73652267055599e+001°)
