time	V(vout3)
3.857840212001147e-004	1.853496e+000
3.927594676286861e-004	1.867166e+000
3.997349140572575e-004	1.881965e+000
4.067103604858290e-004	1.897894e+000
4.136858069144004e-004	1.914953e+000
4.206612533429718e-004	1.933142e+000
4.276366997715433e-004	1.952460e+000
4.346121462001147e-004	1.972908e+000
4.429826819144004e-004	1.998898e+000
4.513532176286861e-004	2.026087e+000
4.597237533429719e-004	2.054474e+000
4.680942890572576e-004	2.084061e+000
4.764648247715433e-004	2.114847e+000
4.848353604858290e-004	2.146832e+000
4.932058962001147e-004	2.180016e+000
4.994837979858290e-004	2.205443e+000
5.057616997715433e-004	2.231229e+000
5.120396015572576e-004	2.257376e+000
5.183175033429718e-004	2.283882e+000
5.245954051286861e-004	2.310748e+000
5.308733069144004e-004	2.337974e+000
5.371512087001147e-004	2.365561e+000
5.440097572808931e-004	2.395964e+000
5.508683058616715e-004	2.426423e+000
5.577268544424499e-004	2.456938e+000
5.645854030232282e-004	2.487508e+000
5.714439516040066e-004	2.518133e+000
5.783025001847850e-004	2.548814e+000
5.851610487655634e-004	2.579550e+000
5.882807212108762e-004	2.593443e+000
5.914003936561891e-004	2.607288e+000
5.945200661015020e-004	2.621085e+000
5.976397385468148e-004	2.634834e+000
6.007594109921277e-004	2.648536e+000
6.038790834374405e-004	2.662189e+000
6.069987558827534e-004	2.675794e+000
6.118815683827534e-004	2.696940e+000
6.167643808827534e-004	2.717903e+000
6.216471933827534e-004	2.738662e+000
6.265300058827534e-004	2.759195e+000
6.314128183827534e-004	2.779482e+000
6.369931755256105e-004	2.802408e+000
6.425735326684677e-004	2.824895e+000
6.481538898113248e-004	2.846941e+000
6.537342469541820e-004	2.868549e+000
6.593146040970391e-004	2.889716e+000
6.648949612398964e-004	2.910444e+000
6.704753183827535e-004	2.930732e+000
6.802409433827535e-004	2.964834e+000
6.851237558827535e-004	2.981238e+000
6.920992023113249e-004	3.003980e+000
6.990746487398964e-004	3.025657e+000
7.060500951684678e-004	3.046271e+000
7.130255415970392e-004	3.065820e+000
7.200009880256107e-004	3.084305e+000
7.269764344541821e-004	3.101726e+000
7.339518808827535e-004	3.118083e+000
7.395322380256106e-004	3.130275e+000
7.451125951684678e-004	3.141661e+000
7.506929523113249e-004	3.152243e+000
7.562733094541821e-004	3.162018e+000
7.618536665970392e-004	3.170989e+000
7.674340237398964e-004	3.179154e+000
7.730143808827535e-004	3.186513e+000
7.792922826684679e-004	3.193771e+000
7.855701844541822e-004	3.199932e+000
7.918480862398965e-004	3.204996e+000
7.981259880256108e-004	3.208965e+000
8.044038898113250e-004	3.211837e+000
8.106817915970393e-004	3.213614e+000
8.169596933827536e-004	3.214293e+000
8.267253183827536e-004	3.213223e+000
8.304382241457669e-004	3.212120e+000
8.326884915025438e-004	3.211262e+000
8.330175495000672e-004	3.211120e+000
8.332343573140622e-004	3.211026e+000
8.333524008606656e-004	3.210974e+000
8.346751091216933e-004	3.210363e+000
8.349036468125665e-004	3.209940e+000
8.349566923839973e-004	3.209381e+000
8.350084262830925e-004	3.208428e+000
8.350161932445607e-004	3.208337e+000
8.350246526453331e-004	3.208309e+000
8.350281465917150e-004	3.208303e+000
8.350332663859602e-004	3.208294e+000
8.350425972166338e-004	3.208279e+000
8.350612588779811e-004	3.208250e+000
8.350937435411643e-004	3.208202e+000
8.351250102574650e-004	3.208159e+000
8.351585226390017e-004	3.208116e+000
8.352035855216236e-004	3.208061e+000
8.352612704644980e-004	3.207994e+000
8.353309557420849e-004	3.207917e+000
8.354001822239654e-004	3.207845e+000
8.354963139583523e-004	3.207753e+000
8.356128463135084e-004	3.207649e+000
8.357325605816426e-004	3.207550e+000
8.358307785949694e-004	3.207473e+000
8.359751854191350e-004	3.207365e+000
8.361180721992131e-004	3.207259e+000
8.362611518989329e-004	3.207153e+000
8.364763627412116e-004	3.206993e+000
8.366111019457079e-004	3.206893e+000
8.367466276121475e-004	3.206797e+000
8.369194894207956e-004	3.206678e+000
8.371326208981957e-004	3.206538e+000
8.372911323643641e-004	3.206436e+000
8.376908974366464e-004	3.206180e+000
8.379817750833901e-004	3.205992e+000
8.382092770803056e-004	3.205848e+000
8.384951735672969e-004	3.205675e+000
8.388086048244629e-004	3.205493e+000
8.391129734144556e-004	3.205318e+000
8.394580685037746e-004	3.205118e+000
8.402381977475026e-004	3.204659e+000
8.412952781696620e-004	3.204016e+000
8.425993314765618e-004	3.203176e+000
8.482365268096401e-004	3.198815e+000
8.538737221427186e-004	3.193527e+000
8.595109174757969e-004	3.187311e+000
8.651481128088752e-004	3.180167e+000
8.707853081419537e-004	3.172096e+000
8.764225034750320e-004	3.163097e+000
8.820596988081104e-004	3.153171e+000
8.897326898795390e-004	3.138253e+000
8.974056809509675e-004	3.121935e+000
9.050786720223961e-004	3.104218e+000
9.127516630938247e-004	3.085102e+000
9.204246541652533e-004	3.064587e+000
9.280976452366818e-004	3.042673e+000
9.357706363081104e-004	3.019360e+000
9.441411720223961e-004	2.992482e+000
9.525117077366817e-004	2.964447e+000
9.608822434509674e-004	2.935256e+000
9.692527791652530e-004	2.904907e+000
9.776233148795386e-004	2.873401e+000
9.859938505938244e-004	2.840738e+000
9.943643863081100e-004	2.806919e+000
9.999447434509670e-004	2.783968e+000
1.005525100593824e-003	2.760743e+000
1.011105457736681e-003	2.737242e+000
1.016685814879538e-003	2.713467e+000
1.022266172022395e-003	2.689418e+000
1.027846529165252e-003	2.665093e+000
1.033426886308109e-003	2.640493e+000
1.039704788093823e-003	2.612590e+000
1.045982689879538e-003	2.584623e+000
1.052260591665252e-003	2.556592e+000
1.058538493450966e-003	2.528498e+000
1.064816395236680e-003	2.500340e+000
1.071094297022394e-003	2.472119e+000
1.077372198808108e-003	2.443834e+000
1.088532913093822e-003	2.393407e+000
1.099693627379537e-003	2.344101e+000
1.110854341665250e-003	2.295916e+000
1.122015055950964e-003	2.248854e+000
1.133175770236679e-003	2.202913e+000
1.144336484522393e-003	2.158094e+000
1.155497198808107e-003	2.114396e+000
1.164565279165249e-003	2.080509e+000
1.173633359522392e-003	2.048235e+000
1.182701439879535e-003	2.017575e+000
1.191769520236677e-003	1.988527e+000
1.200837600593820e-003	1.961093e+000
1.209905680950963e-003	1.935272e+000
1.218973761308105e-003	1.911065e+000
1.224554118450962e-003	1.897221e+000
1.230134475593819e-003	1.884158e+000
1.235714832736676e-003	1.871876e+000
1.241295189879533e-003	1.860373e+000
1.246875547022390e-003	1.849651e+000
1.252455904165247e-003	1.839710e+000
1.258036261308104e-003	1.830549e+000
1.263615722179260e-003	1.822242e+000
