Freq.	V(vout)/(V(Vip)-V(Vim))
2.08929613085404e+00	(8.22828145559036e-05dB,-1.99000785361905e-05°)
2.13796208950223e+00	(8.22828142376785e-05dB,-2.03636109119205e-05°)
2.18776162394955e+00	(8.22828145289027e-05dB,-2.08379403437002e-05°)
2.23872113856834e+00	(8.22828142145349e-05dB,-2.13233183272728e-05°)
2.29086765276777e+00	(8.22828145019017e-05dB,-2.18200022164701e-05°)
2.34422881531992e+00	(8.22828144845440e-05dB,-2.23282553596644e-05°)
2.39883291901949e+00	(8.22828141740335e-05dB,-2.28483472393999e-05°)
2.45470891568503e+00	(8.22828144575431e-05dB,-2.33805536152752e-05°)
2.51188643150958e+00	(8.22828141354608e-05dB,-2.39251566701557e-05°)
2.57039578276886e+00	(8.22828144189704e-05dB,-2.44824451597895e-05°)
2.63026799189538e+00	(8.22828144016126e-05dB,-2.50527145659105e-05°)
2.69153480392691e+00	(8.22828143861836e-05dB,-2.56362672529063e-05°)
2.75422870333816e+00	(8.22828143630399e-05dB,-2.62334126281357e-05°)
2.81838293126445e+00	(8.22828143418249e-05dB,-2.68444673059807e-05°)
2.88403150312660e+00	(8.22828143186813e-05dB,-2.74697552757200e-05°)
2.95120922666638e+00	(8.22828142936090e-05dB,-2.81096080733116e-05°)
3.01995172040201e+00	(8.22828139695980e-05dB,-2.87643649571784e-05°)
3.09029543251359e+00	(8.22828142473217e-05dB,-2.94343730880869e-05°)
3.16227766016837e+00	(8.22828139175248e-05dB,-3.01199877132167e-05°)
3.23593656929628e+00	(8.22828141952485e-05dB,-3.08215723545171e-05°)
3.31131121482591e+00	(8.22828141663190e-05dB,-3.15394990014517e-05°)
3.38844156139202e+00	(8.22828138365221e-05dB,-3.22741483082316e-05°)
3.46736850452531e+00	(8.22828144035413e-05dB,-3.30259097956432e-05°)
3.54813389233575e+00	(8.22828140698871e-05dB,-3.37951820575782e-05°)
3.63078054770101e+00	(8.22828137323757e-05dB,-3.45823729723723e-05°)
3.71535229097172e+00	(8.22828139927417e-05dB,-3.53878999190681e-05°)
3.80189396320560e+00	(8.22828139522403e-05dB,-3.62121899987152e-05°)
3.89045144994280e+00	(8.22828136185861e-05dB,-3.70556802608247e-05°)
3.98107170553496e+00	(8.22828138731662e-05dB,-3.79188179350984e-05°)
4.07380277804112e+00	(8.22828138326648e-05dB,-3.88020606685562e-05°)
4.16869383470335e+00	(8.22828137844489e-05dB,-3.97058767681865e-05°)
4.26579518801592e+00	(8.22828140390289e-05dB,-4.06307454492488e-05°)
4.36515832240165e+00	(8.22828136880171e-05dB,-4.15771570893597e-05°)
4.46683592150962e+00	(8.22828136301580e-05dB,-4.25456134884982e-05°)
4.57088189614874e+00	(8.22828138789521e-05dB,-4.35366281350661e-05°)
4.67735141287197e+00	(8.22828135202257e-05dB,-4.45507264781466e-05°)
4.78630092322637e+00	(8.22828134546520e-05dB,-4.55884462061045e-05°)
4.89778819368445e+00	(8.22828133967929e-05dB,-4.66503375316754e-05°)
5.01187233627271e+00	(8.22828136301580e-05dB,-4.77369634836957e-05°)
5.12861383991364e+00	(8.22828135607271e-05dB,-4.88489002056285e-05°)
5.24807460249771e+00	(8.22828131846429e-05dB,-4.99867372610422e-05°)
5.37031796370252e+00	(8.22828131074974e-05dB,-5.11510779462043e-05°)
5.49540873857623e+00	(8.22828133331479e-05dB,-5.23425396099579e-05°)
5.62341325190348e+00	(8.22828129474206e-05dB,-5.35617539810485e-05°)
5.75439937337156e+00	(8.22828131537847e-05dB,-5.48093675030734e-05°)
5.88843655355588e+00	(8.22828127642001e-05dB,-5.60860416772363e-05°)
6.02559586074356e+00	(8.22828129724929e-05dB,-5.73924534130830e-05°)
6.16595001861481e+00	(8.22828128683465e-05dB,-5.87292953874084e-05°)
6.30957344480192e+00	(8.22828127642001e-05dB,-6.00972764115223e-05°)
